,Plant name,Plant annual CO2 equivalent emissions (tons),elast,permits_post_reduction,prct_change_permits,reduction_target
0,Aera San Ardo Cogen Facility,7334.66,-1.0,6531.431971369499,-10.951128322655734,20.0 percent
1,AES Alamitos,1936315.461,-2.1,1517734.4683209115,-21.61739660245828,20.0 percent
2,AES Alamitos Energy Center,1402141.203,-2.1,1099034.7782210105,-21.61739660245827,20.0 percent
3,AES Huntington Beach,1692693.487,-2.1,1326777.2226512295,-21.61739660245827,20.0 percent
4,AES Huntington Beach Energy Project,1567415.034,-2.1,1228580.7096936635,-21.617396602458292,20.0 percent
5,AES Redondo Beach,218036.063,-1.0,194158.6539512035,-10.951128322655723,20.0 percent
6,Agnews Power Plant,14720.998,-1.0,13108.882618644417,-10.951128322655723,20.0 percent
7,Agua Mansa Power,8594.314,-1.0,7653.139645408033,-10.951128322655734,20.0 percent
8,Alameda,14476.637,-1.0,12891.28190532494,-10.951128322655734,20.0 percent
9,Algonquin Power Sanger,77902.889,-1.0,69371.64365855393,-10.951128322655734,20.0 percent
10,Almond Power Plant,181188.208,-1.0,161346.05483639965,-10.951128322655723,20.0 percent
11,AltaGas Ripon Energy Inc.,2207.86,-1.0,1966.0744182154133,-10.951128322655734,20.0 percent
12,Argus Cogen Plant,155559.472,-1.0,138523.9546032343,-10.951128322655723,20.0 percent
13,B Braun Medical,10784.9,-1.0,9603.831761529902,-10.951128322655723,20.0 percent
14,Badger Creek Limited,13428.32,-1.0,11957.767445223155,-10.951128322655734,20.0 percent
15,Barre Generating Station,14117.569,-1.0,12571.535902770533,-10.951128322655745,20.0 percent
16,Bear Mountain Limited,41458.682,-1.0,36918.48853329822,-10.951128322655745,20.0 percent
17,Bear Valley Power Plant,1966.938,-1.0,1751.5360955929218,-10.951128322655734,20.0 percent
18,Berry Cogen,85706.828,-1.0,76320.96328444216,-10.951128322655734,20.0 percent
19,Berry Cogen Tanne Hills 18,42489.515,-1.0,37836.43368867594,-10.951128322655734,20.0 percent
20,Berry NMW Cogens,44086.008,-1.0,39258.09269158373,-10.951128322655723,20.0 percent
21,Berry Placerita Cogen,3355.329,-1.0,2987.8826155627185,-10.951128322655745,20.0 percent
22,Biola University Hybrid,2264.083,-1.0,2016.1403653385664,-10.951128322655734,20.0 percent
23,Blacksand Generating Facility,42621.665,-1.0,37954.11177259756,-10.951128322655734,20.0 percent
24,Blythe Energy,723207.167,-2.1,566868.6054522071,-21.617396602458292,20.0 percent
