,Plant name,Plant annual CO2 equivalent emissions (tons),elast,permits_post_reduction,prct_change_permits,reduction_target
0,Aera San Ardo Cogen Facility,7334.66,-1.0,4957.965306045968,-32.40361099156651,20.0 percent
1,AES Alamitos,1936315.461,-0.5,1591980.9314392274,-17.782976818402453,20.0 percent
2,AES Alamitos Energy Center,1402141.203,-0.5,1152798.757909241,-17.78297681840244,20.0 percent
3,AES Huntington Beach,1692693.487,-0.5,1391682.196600182,-17.78297681840244,20.0 percent
4,AES Huntington Beach Energy Project,1567415.034,-0.5,1288681.9818556253,-17.78297681840244,20.0 percent
5,AES Redondo Beach,218036.063,-1.0,147384.5053241531,-32.40361099156651,20.0 percent
6,Agnews Power Plant,14720.998,-1.0,9950.863074003713,-32.40361099156651,20.0 percent
7,Agua Mansa Power,8594.314,-1.0,5809.44592404626,-32.403610991566524,20.0 percent
8,Alameda,14476.637,-1.0,9785.683861858815,-32.40361099156651,20.0 percent
9,Algonquin Power Sanger,77902.889,-1.0,52659.53989724814,-32.40361099156651,20.0 percent
10,Almond Power Plant,181188.208,-1.0,122476.68591708962,-32.40361099156651,20.0 percent
11,AltaGas Ripon Energy Inc.,2207.86,-1.0,1492.4336343615998,-32.4036109915665,20.0 percent
12,Argus Cogen Plant,155559.472,-1.0,105152.58583258517,-32.40361099156651,20.0 percent
13,B Braun Medical,10784.9,-1.0,7290.202958170543,-32.40361099156651,20.0 percent
14,Badger Creek Limited,13428.32,-1.0,9077.059424497274,-32.403610991566524,20.0 percent
15,Barre Generating Station,14117.569,-1.0,9542.966859774013,-32.40361099156651,20.0 percent
16,Bear Mountain Limited,41458.682,-1.0,28024.571962489394,-32.40361099156651,20.0 percent
17,Bear Valley Power Plant,1966.938,-1.0,1329.5790620347016,-32.40361099156651,20.0 percent
18,Berry Cogen,85706.828,-1.0,57934.72086166899,-32.40361099156651,20.0 percent
19,Berry Cogen Tanne Hills 18,42489.515,-1.0,28721.377847196698,-32.40361099156651,20.0 percent
20,Berry NMW Cogens,44086.008,-1.0,29800.54946596911,-32.40361099156651,20.0 percent
21,Berry Placerita Cogen,3355.329,-1.0,2268.0812433527813,-32.40361099156651,20.0 percent
22,Biola University Hybrid,2264.083,-1.0,1530.4383521538114,-32.4036109915665,20.0 percent
23,Blacksand Generating Facility,42621.665,-1.0,28810.706475271345,-32.40361099156651,20.0 percent
24,Blythe Energy,723207.167,-0.5,594599.404143365,-17.78297681840244,20.0 percent
25,Broadridge Cogen,9593.587,-1.0,6484.9183883825035,-32.40361099156651,20.0 percent
26,C P Kelco San Diego Plant,29773.195,-1.0,20125.604712439468,-32.40361099156651,20.0 percent
27,Cabrillo Power I Encina Power Station,210988.243,-1.0,142620.43350033893,-32.40361099156651,20.0 percent
28,California Institute of Technology,9723.373,-1.0,6572.649037820989,-32.40361099156651,20.0 percent
29,CalPeak Power - Border,11553.573,-1.0,7809.79814945334,-32.40361099156651,20.0 percent
30,CalPeak Power - Enterprise,9876.409,-1.0,6676.095847703936,-32.40361099156651,20.0 percent
31,CalPeak Power - Panoche,4683.876,-1.0,3166.1310416326546,-32.4036109915665,20.0 percent
32,CalPeak Power - Vaca Dixon,8585.005,-1.0,5803.153376193465,-32.40361099156651,20.0 percent
33,"Calpine Gilroy Cogen, LP",32148.969,-1.0,21731.54214744069,-32.40361099156651,20.0 percent
34,Calpine Sutter Energy Center,1151500.143,-0.5,946729.139506439,-17.78297681840244,20.0 percent
35,Campbell Power Plant,443337.754,-0.5,364499.10397895396,-17.78297681840244,20.0 percent
36,Canyon Power Plant,89564.205,-1.0,60542.16842411084,-32.40361099156651,20.0 percent
37,Carson Cogeneration Company,14248.948,-1.0,9631.774319689404,-32.40361099156651,20.0 percent
38,Carson Power Plant,94720.233,-1.0,64027.45716837458,-32.40361099156651,20.0 percent
39,CCCSD Wastewater Treatment Plnt,7362.973,-1.0,4977.103871665926,-32.4036109915665,20.0 percent
40,Center Generating Station,5594.467,-1.0,3781.6576762684385,-32.40361099156651,20.0 percent
41,Central Utilities Plant LAX 2,11655.102,-1.0,7878.428087249712,-32.40361099156651,20.0 percent
42,Century Generating Facility,1482.691,-1.0,1002.2455761530325,-32.40361099156651,20.0 percent
43,Chalk Cliff Limited,5957.705,-1.0,4027.193447774893,-32.4036109915665,20.0 percent
44,Childrens Hospital,11646.577,-1.0,7872.665495086742,-32.40361099156651,20.0 percent
45,Chowchilla II,13153.485,-1.0,8891.280888765948,-32.40361099156651,20.0 percent
46,Chula Vista Energy Center,2052.087,-1.0,1387.1367113114927,-32.4036109915665,20.0 percent
47,Civic Center,0.0,-1.0,0.0,,20.0 percent
48,Clearwater Power Plant,7022.481,-1.0,4746.94357480333,-32.40361099156651,20.0 percent
49,Coachella,2762.971,-1.0,1867.668625350205,-32.4036109915665,20.0 percent
50,Coalinga 25D Cogen,17183.167,-1.0,11615.200409288771,-32.40361099156651,20.0 percent
51,Coalinga Cogeneration Facility,14536.454,-1.0,9826.11799387199,-32.40361099156651,20.0 percent
52,Colusa Generating Station,1111690.139,-0.5,913998.539289164,-17.782976818402453,20.0 percent
53,Cosumnes Power Plant,421371.121,-0.5,346438.79223312746,-17.782976818402453,20.0 percent
54,Creed Energy Center,6782.703,-1.0,4584.862305166689,-32.40361099156651,20.0 percent
55,Crockett Cogen Project,533581.142,-0.5,438694.531210773,-17.78297681840244,20.0 percent
56,CSUCI Site Authority,3180.715,-1.0,2150.0484846495956,-32.4036109915665,20.0 percent
57,CSUF Trigeneration,11003.712,-1.0,7438.111968887676,-32.40361099156651,20.0 percent
58,Cuyamaca Peak Energy,8423.763,-1.0,5694.159606628487,-32.40361099156651,20.0 percent
59,Cymric 31X Cogen,11428.965,-1.0,7725.56764103771,-32.40361099156651,20.0 percent
60,Cymric 36W Cogen,14245.032,-1.0,9629.127245095833,-32.40361099156651,20.0 percent
61,Cymric 6Z Cogen,12467.034,-1.0,8427.264800453666,-32.40361099156651,20.0 percent
62,"Delano Energy Center, LLC",9370.498,-1.0,6334.118280107479,-32.40361099156651,20.0 percent
63,"Delta Energy Center, LLC",1699599.628,-0.5,1397360.2201471059,-17.78297681840244,20.0 percent
64,Dome Project,18244.529,-1.0,12332.64279559646,-32.40361099156651,20.0 percent
65,Donald Von Raesfeld,337437.243,-0.5,277430.8563006537,-17.78297681840244,20.0 percent
66,Double C Generation Limited Partnership,25636.161,-1.0,17329.119116388316,-32.4036109915665,20.0 percent
67,Drews Generating Facility,860.372,-1.0,581.5804040396393,-32.40361099156651,20.0 percent
68,Dynegy Oakland Power Plant,36049.361,-1.0,24368.066296614506,-32.40361099156651,20.0 percent
69,E. F. Oxnard Energy Facility,2194.086,-1.0,1483.1229077395778,-32.40361099156651,20.0 percent
70,El Cajon Energy Center,8760.122,-1.0,5921.526144733364,-32.4036109915665,20.0 percent
71,El Centro,537874.73,-0.5,442224.59145205526,-17.78297681840244,20.0 percent
72,El Segundo,145014.353,-1.0,98024.46617194294,-32.40361099156651,20.0 percent
73,El Segundo Cogen,767752.273,-0.5,631223.0642696522,-17.78297681840244,20.0 percent
74,Elk Hills Cogen,2506.621,-1.0,1694.3852821270857,-32.40361099156651,20.0 percent
75,Elk Hills Power,1288658.882,-0.5,1059496.9717456559,-17.78297681840244,20.0 percent
76,Ellwood,3542.064,-1.0,2394.3073603676794,-32.40361099156651,20.0 percent
77,Energy Center,2766.997,-1.0,1870.3900559716842,-32.40361099156651,20.0 percent
78,"Escondido Energy Center, LLC",7541.493,-1.0,5097.776945323782,-32.40361099156651,20.0 percent
79,Fairhaven Power,0.0,-1.0,0.0,,20.0 percent
80,Feather River Energy Center,46705.006,-1.0,31570.897542172203,-32.40361099156651,20.0 percent
81,"Fresno Cogeneration Partners, LP",6192.699,-1.0,4186.04090616137,-32.40361099156651,20.0 percent
82,Gateway Generating Station,1067881.592,-0.5,877980.4560466531,-17.782976818402428,20.0 percent
83,Gianera,6251.018,-1.0,4225.462444267198,-32.403610991566524,20.0 percent
84,"Gilroy Energy Center, LLC",17857.179,-1.0,12070.808182772293,-32.40361099156651,20.0 percent
85,Glass House Camarillo Cultivation,22932.647,-1.0,15501.641276050852,-32.40361099156651,20.0 percent
