,Plant name,Plant annual CO2 equivalent emissions (tons),elast,permits_post_reduction,prct_change_permits,reduction_target
0,Aera San Ardo Cogen Facility,7334.66,-1.0,5867.728000000002,-19.99999999999997,20.0 percent
1,AES Alamitos,1936315.461,-1.0,1549052.3688000003,-19.999999999999986,20.0 percent
2,AES Alamitos Energy Center,1402141.203,-1.0,1121712.9624000003,-19.99999999999997,20.0 percent
3,AES Huntington Beach,1692693.487,-1.0,1354154.7896000005,-19.99999999999997,20.0 percent
4,AES Huntington Beach Energy Project,1567415.034,-1.0,1253932.0272000004,-19.99999999999997,20.0 percent
5,AES Redondo Beach,218036.063,-1.0,174428.85040000005,-19.99999999999997,20.0 percent
6,Agnews Power Plant,14720.998,-1.0,11776.798400000003,-19.99999999999997,20.0 percent
7,Agua Mansa Power,8594.314,-1.0,6875.451200000002,-19.99999999999997,20.0 percent
8,Alameda,14476.637,-1.0,11581.309600000004,-19.99999999999997,20.0 percent
9,Algonquin Power Sanger,77902.889,-1.0,62322.31120000002,-19.99999999999997,20.0 percent
10,Almond Power Plant,181188.208,-1.0,144950.56640000007,-19.99999999999997,20.0 percent
11,AltaGas Ripon Energy Inc.,2207.86,-1.0,1766.2880000000007,-19.99999999999997,20.0 percent
12,Argus Cogen Plant,155559.472,-1.0,124447.57760000005,-19.99999999999997,20.0 percent
13,B Braun Medical,10784.9,-1.0,8627.920000000002,-19.999999999999986,20.0 percent
14,Badger Creek Limited,13428.32,-1.0,10742.656000000003,-19.99999999999997,20.0 percent
15,Barre Generating Station,14117.569,-1.0,11294.055200000003,-19.999999999999986,20.0 percent
16,Bear Mountain Limited,41458.682,-1.0,33166.94560000001,-19.999999999999986,20.0 percent
17,Bear Valley Power Plant,1966.938,-1.0,1573.5504000000005,-19.99999999999997,20.0 percent
18,Berry Cogen,85706.828,-1.0,68565.46240000002,-19.99999999999997,20.0 percent
19,Berry Cogen Tanne Hills 18,42489.515,-1.0,33991.61200000001,-19.999999999999986,20.0 percent
20,Berry NMW Cogens,44086.008,-1.0,35268.806400000016,-19.99999999999996,20.0 percent
21,Berry Placerita Cogen,3355.329,-1.0,2684.263200000001,-19.999999999999986,20.0 percent
22,Biola University Hybrid,2264.083,-1.0,1811.2664000000007,-19.99999999999997,20.0 percent
23,Blacksand Generating Facility,42621.665,-1.0,34097.33200000001,-19.999999999999986,20.0 percent
24,Blythe Energy,723207.167,-1.0,578565.7336000002,-19.999999999999986,20.0 percent
25,Broadridge Cogen,9593.587,-1.0,7674.869600000002,-19.99999999999997,20.0 percent
26,C P Kelco San Diego Plant,29773.195,-1.0,23818.556000000008,-19.99999999999997,20.0 percent
27,Cabrillo Power I Encina Power Station,210988.243,-1.0,168790.59440000006,-19.99999999999996,20.0 percent
28,California Institute of Technology,9723.373,-1.0,7778.698400000002,-19.99999999999997,20.0 percent
29,CalPeak Power - Border,11553.573,-1.0,9242.858400000003,-19.99999999999997,20.0 percent
30,CalPeak Power - Enterprise,9876.409,-1.0,7901.127200000003,-19.99999999999997,20.0 percent
31,CalPeak Power - Panoche,4683.876,-1.0,3747.1008000000015,-19.99999999999997,20.0 percent
32,CalPeak Power - Vaca Dixon,8585.005,-1.0,6868.004000000002,-19.99999999999997,20.0 percent
33,"Calpine Gilroy Cogen, LP",32148.969,-1.0,25719.17520000001,-19.99999999999997,20.0 percent
34,Calpine Sutter Energy Center,1151500.143,-1.0,921200.1144000003,-19.99999999999996,20.0 percent
35,Campbell Power Plant,443337.754,-1.0,354670.2032000001,-19.999999999999986,20.0 percent
36,Canyon Power Plant,89564.205,-1.0,71651.36400000002,-19.999999999999986,20.0 percent
37,Carson Cogeneration Company,14248.948,-1.0,11399.158400000004,-19.99999999999997,20.0 percent
38,Carson Power Plant,94720.233,-1.0,75776.18640000002,-19.99999999999997,20.0 percent
39,CCCSD Wastewater Treatment Plnt,7362.973,-1.0,5890.378400000002,-19.99999999999997,20.0 percent
40,Center Generating Station,5594.467,-1.0,4475.573600000001,-19.999999999999986,20.0 percent
41,Central Utilities Plant LAX 2,11655.102,-1.0,9324.081600000003,-19.99999999999997,20.0 percent
